Sno,Carpet,Status,Floor,Transaction,Year,Price
322,,,1,FOR SALE,1923,600
323,,ACTIVE,,NEW LISTING FOR SALE,1909,
324,,ACTIVE,1,NEW LISTING FOR SALE,1939,5924
325,,ACTIVE,,FOR SALE,1939,4824
326,,ACTIVE,4,FOR SALE PRICE REDUCED,1899,576
327,,ACTIVE,4,OPEN HOUSE FOR SALE,2363,
328,,ACTIVE,,FOR SALE PRICE REDUCED,1910,
329,,ACTIVE,,FOR SALE,1920,949
330,,ACTIVE,,FOR SALE,1899,434
331,,ACTIVE,,FOR SALE,1911,2149
332,,ACTIVE,2,OPEN HOUSE FOR SALE,1976,
333,,,,FOR SALE,2015,
334,175,ACTIVE,2,NEW LISTING FOR SALE,2009,1731
335,19,ACTIVE,,NEW LISTING FOR SALE,2002,1186
336,,ACTIVE,2,SALE UNDER CONTRACT,1906,
337,,ACTIVE,,SALE UNDER CONTRACT,1906,
338,,ACTIVE,3,FOR SALE,2008,1005
339,,ACTIVE,3,FOR SALE,,2094
340,,ACTIVE,,FOR SALE,1925,305
341,,ACTIVE,1,FOR SALE,2005,2860
342,,ACTIVE,1,FOR SALE,1925,2538
343,,ACTIVE,1,FOR SALE,1910,262
344,,ACTIVE,,FOR SALE,,436
345,,ACTIVE,1,FOR SALE,1901,4201
346,,ACTIVE,2,FOR SALE,2006,625
347,,ACTIVE,2,NEW LISTING FOR SALE,1930,438
348,,,1,FOR SALE,,
349,,ACTIVE,,FOR SALE - ACTIVE,1972,424
350,,ACTIVE,,FOR SALE - ACTIVE,1927,338
351,1100,ACTIVE,,FOR SALE - ACTIVE,2001,350
352,700,ACTIVE,,FOR SALE - ACTIVE,1971,457
353,730,ACTIVE,,FOR SALE - ACTIVE,2002,397
354,1450,ACTIVE,,FOR SALE - ACTIVE,2008,345
355,2879,ACTIVE,,FOR SALE - ACTIVE,1927,677
356,2507,ACTIVE,,FOR SALE - ACTIVE,2024,568
357,860,ACTIVE,,FOR SALE - ACTIVE,1984,
358,1880,ACTIVE,,FOR SALE - ACTIVE,1960,478
359,3270,ACTIVE,,FOR SALE - ACTIVE,1930,336
360,949,ACTIVE,,FOR SALE - ACTIVE,2024,390
361,1065,ACTIVE,,FOR SALE - ACTIVE,2009,704
362,1500,COMING SOON,,COMING SOON ON JUN 25,2024,567
363,1400,COMING SOON,,COMING SOON ON JUL 19,1920,999
364,1889,ACTIVE,,FOR SALE - ACTIVE,1928,740
365,1409,ACTIVE,,FOR SALE - ACTIVE,1971,709
366,2071,ACTIVE,,FOR SALE - ACTIVE,2001,869
367,1106,ACTIVE,,FOR SALE - ACTIVE,2007,325
368,1243,ACTIVE,,FOR SALE - ACTIVE,1958,382
369,1305,ACTIVE,,FOR SALE - ACTIVE,2000,360
370,1924,ACTIVE,,FOR SALE - ACTIVE,1997,251
371,9000,ACTIVE,1,FOR SALE,2024,1111
372,13400,ACTIVE,2,FOR SALE,1885,746
373,10000,ACTIVE,2,NEW LISTING FOR SALE,2007,890
374,,,3,FOR SALE,1885,
375,7800,ACTIVE,1,FOR SALE,1931,997
376,9700,ACTIVE,,FOR SALE,1894,794
377,5500,ACTIVE,,FOR SALE,1929,1364
378,7900,ACTIVE,2,FOR SALE,1995,930
379,5500,ACTIVE,3,FOR SALE,1928,1272
380,4420,ACTIVE,,FOR SALE PRICE REDUCED,2018,1578
381,8700,ACTIVE,1,FOR SALE,2006,793
382,7252,ACTIVE,,NEW LISTING FOR SALE,1997,909
383,11664,ACTIVE,1,FEATURED LISTING,1937,2314
384,165,ACTIVE,,NEW LISTING FOR SALE,2015,7697
385,16,ACTIVE,1,FOR SALE,,2900
386,11664,ACTIVE,1,FOR SALE,2008,3855
387,117,ACTIVE,,FOR SALE,2015,3185
388,17661,ACTIVE,2,FOR SALE PRICE REDUCED,2023,2208
389,3795,ACTIVE,2,FOR SALE,1955,8933
390,11461,ACTIVE,,NEW LISTING FOR SALE,2024,2618
391,13600,ACTIVE,2,FOR SALE,2023,2202
392,49,ACTIVE,,FOR SALE,2017,736
393,,,2,NEW LISTING FOR SALE,1950,
394,2268,ACTIVE,3,FOR SALE,2006,1278
395,5909,ACTIVE,,FOR SALE PRICE REDUCED,1991,338
396,,,1,FOR SALE,1923,600
397,,ACTIVE,,NEW LISTING FOR SALE,1909,
398,,ACTIVE,1,NEW LISTING FOR SALE,1939,5924
399,,ACTIVE,,FOR SALE,1939,4824
400,,ACTIVE,4,FOR SALE PRICE REDUCED,1899,576
401,,ACTIVE,4,OPEN HOUSE FOR SALE,2363,
402,,ACTIVE,,FOR SALE PRICE REDUCED,1910,
403,,ACTIVE,,FOR SALE,1920,949
404,,ACTIVE,,FOR SALE,1899,434
405,,ACTIVE,,FOR SALE,1911,2149
406,,ACTIVE,2,OPEN HOUSE FOR SALE,1976,
407,,,,FOR SALE,2015,
408,175,ACTIVE,2,NEW LISTING FOR SALE,2009,1731
409,19,ACTIVE,,NEW LISTING FOR SALE,2002,1186
410,,ACTIVE,2,SALE UNDER CONTRACT,1906,
411,,ACTIVE,,SALE UNDER CONTRACT,1906,
412,,ACTIVE,3,FOR SALE,2008,1005
413,,ACTIVE,3,FOR SALE,,2094
414,,ACTIVE,,FOR SALE,1925,305
415,,ACTIVE,1,FOR SALE,2005,2860
416,,ACTIVE,1,FOR SALE,1925,2538
417,,ACTIVE,1,FOR SALE,1910,262
418,,ACTIVE,,FOR SALE,,436
419,,ACTIVE,1,FOR SALE,1901,4201
420,,ACTIVE,2,FOR SALE,2006,625
421,,ACTIVE,2,NEW LISTING FOR SALE,1930,438
422,,,1,FOR SALE,,
423,,ACTIVE,,FOR SALE - ACTIVE,1972,424
424,,ACTIVE,,FOR SALE - ACTIVE,1927,338
425,1100,ACTIVE,,FOR SALE - ACTIVE,2001,350
426,700,ACTIVE,,FOR SALE - ACTIVE,1971,457
427,730,ACTIVE,,FOR SALE - ACTIVE,2002,397
428,1450,ACTIVE,,FOR SALE - ACTIVE,2008,345
429,2879,ACTIVE,,FOR SALE - ACTIVE,1927,677
430,2507,ACTIVE,,FOR SALE - ACTIVE,2024,568
431,860,ACTIVE,,FOR SALE - ACTIVE,1984,
432,1880,ACTIVE,,FOR SALE - ACTIVE,1960,478
433,3270,ACTIVE,,FOR SALE - ACTIVE,1930,336
434,949,ACTIVE,,FOR SALE - ACTIVE,2024,390
435,1065,ACTIVE,,FOR SALE - ACTIVE,2009,704
436,1500,COMING SOON,,COMING SOON ON JUN 25,2024,567
437,1400,COMING SOON,,COMING SOON ON JUL 19,1920,999
438,1889,ACTIVE,,FOR SALE - ACTIVE,1928,740
439,1409,ACTIVE,,FOR SALE - ACTIVE,1971,709
440,2071,ACTIVE,,FOR SALE - ACTIVE,2001,869
441,1106,ACTIVE,,FOR SALE - ACTIVE,2007,325
442,1243,ACTIVE,,FOR SALE - ACTIVE,1958,382
443,1305,ACTIVE,,FOR SALE - ACTIVE,2000,360
444,1924,ACTIVE,,FOR SALE - ACTIVE,1997,251
445,9000,ACTIVE,1,FOR SALE,2024,1111
446,13400,ACTIVE,2,FOR SALE,1885,746
447,10000,ACTIVE,2,NEW LISTING FOR SALE,2007,890
448,,,3,FOR SALE,1885,
449,7800,ACTIVE,1,FOR SALE,1931,997
450,9700,ACTIVE,,FOR SALE,1894,794
451,5500,ACTIVE,,FOR SALE,1929,1364
452,7900,ACTIVE,2,FOR SALE,1995,930
453,5500,ACTIVE,3,FOR SALE,1928,1272
454,4420,ACTIVE,,FOR SALE PRICE REDUCED,2018,1578
455,8700,ACTIVE,1,FOR SALE,2006,793
456,7252,ACTIVE,,NEW LISTING FOR SALE,1997,909
457,11664,ACTIVE,1,FEATURED LISTING,1937,2314
458,165,ACTIVE,,NEW LISTING FOR SALE,2015,7697
459,16,ACTIVE,1,FOR SALE,,2900
460,11664,ACTIVE,1,FOR SALE,2008,3855
461,117,ACTIVE,,FOR SALE,2015,3185
462,17661,ACTIVE,2,FOR SALE PRICE REDUCED,2023,2208
463,3795,ACTIVE,2,FOR SALE,1955,8933
464,11461,ACTIVE,,NEW LISTING FOR SALE,2024,2618
465,13600,ACTIVE,2,FOR SALE,2023,2202
